,countrycode,country,year,rgdpe,pop,emp,hc,ck,rtfpna,delta,rgdpew,const,popgrowth,ck_1,investment,i_y,g,ly,lschool,ls,lngd,ls_lngd,lsch_lngd,t,gt
336,ARG,Argentina,1961,69125.4140625,20.95998076785486,7.6673502922058105,1.9649277925491333,78036.4609375,0.9686528444290161,0.0722670927643776,9015.55445207309,1,0.01596966316613442,79482.5234375,7085.530661574041,0.10250254204868317,0.0043261159816280524,11.143677728860945,0.6754554978517103,-2.277867680236243,-2.3798671690052426,-2.277867680236243,3.055322666856953,10,0.04326115981628052
337,ARG,Argentina,1962,65920.7421875,21.293330693623172,7.764659404754639,1.9760525226593018,79482.5234375,0.9554870128631592,0.0718647763133049,8489.843372541733,1,0.01565513308202853,78638.8984375,4868.368767652952,0.07385185005662906,-0.013779184215602194,11.09620842343229,0.6811011792655952,-2.605694218773116,-2.607200051945525,-2.605694218773116,3.28830123121112,11,-0.15157102637162415
338,ARG,Argentina,1963,65368.4765625,21.62610052529823,7.863204002380371,1.9872403144836426,78638.8984375,0.9102147221565247,0.06935952603816986,8313.21132488887,1,0.01538741722234131,79273.5625,6089.020786288776,0.09314919218695501,-0.049738033899708,11.087795411493543,0.6867468996303703,-2.373552854146539,-3.3521526967200783,-2.373552854146539,4.038899596350449,12,-0.596856406796496
339,ARG,Argentina,1964,69836.625,21.959089800462515,7.962998867034912,1.9984914064407349,79273.5625,0.959705650806427,0.06772573292255402,8770.141270408625,1,0.015164074567301518,81756.375,7851.6726216943935,0.11242915335176053,0.05156886239891973,11.153913864603538,0.6923925991553601,-2.1854320036965635,-2.0064984142348927,-2.1854320036965635,2.698891013390253,13,0.6703952111859565
340,ARG,Argentina,1965,80459.2109375,22.293096148494254,8.06406021118164,2.0098061561584473,81756.375,1.024398684501648,0.0662035122513771,9977.506222725757,1,0.014982501569406224,84346.8046875,8002.988861440681,0.09946640997582404,0.06315220301819596,11.295505638564068,0.6980382776982098,-2.307935279995981,-1.9355960053080479,-2.307935279995981,2.633634283006258,14,0.8841308422547435
341,ARG,Argentina,1966,80040.8515625,22.62174807538888,8.162942886352539,2.0227134227752686,84346.8046875,1.0046218633651733,0.06317032873630524,9805.391594288709,1,0.014528140168450535,87191.3515625,8172.7622549663065,0.10210738760799658,-0.0196858358927491,11.290292427852718,0.7044398886231538,-2.2817301998375856,-2.847094481601153,-2.2817301998375856,3.5515343702243065,15,-0.2952875383912365
342,ARG,Argentina,1967,83599.046875,22.944513192159484,8.263038635253906,2.035703420639038,87191.3515625,1.0086013078689575,0.05993901193141937,10117.228124570081,1,0.014067202649603322,90598.9921875,8633.804086621269,0.10327634595560416,0.003945507974991848,11.333787397991054,0.710841420415157,-2.2703469130502314,-2.5516655855055212,-2.2703469130502314,3.2625070059206784,16,0.06312812759986956
343,ARG,Argentina,1968,86008.7578125,23.2709477857108,8.364360809326172,2.048776865005493,90598.9921875,1.0319715738296509,0.05723858252167702,10282.76514764896,1,0.014027559021543512,97227.8125,11814.57820320499,0.13736482776510847,0.022646230335556825,11.36220440507988,0.717242963866314,-1.985114916205743,-2.3653931455494432,-1.985114916205743,3.0826361094157573,17,0.38498591570446605
344,ARG,Argentina,1969,93609.9609375,23.61061195935606,8.466926574707031,2.061934232711792,97227.8125,1.0861366987228394,0.0559939369559288,11055.955205415143,1,0.014386080895741619,103105.7578125,11322.113315987866,0.12094987758351095,0.04986952835391703,11.446892077075884,0.7236444901839773,-2.1123790540513676,-2.1181861437614957,-2.1123790540513676,2.841830633945473,18,0.8976515103705065
345,ARG,Argentina,1970,95479.3828125,23.973062,8.570749282836914,2.075176239013672,103105.7578125,1.0818161964416504,0.05448835715651512,11140.144188291595,1,0.015119054906041575,110420.7265625,12933.03210658065,0.13545366261927155,-0.003993748933876309,11.466665616381812,0.7300460845403544,-1.9991256704380898,-2.723971325318621,-1.9991256704380898,3.4540174098589755,19,-0.07588122974364987
346,ARG,Argentina,1971,99901.8125,24.366442,8.649788856506348,2.096463441848755,110420.7265625,1.080047607421875,0.05291905999183655,11549.624407866804,1,0.01614433490125479,117993.609375,13416.243865803117,0.13429429887273683,-0.001637510242717075,11.511943107615203,0.7402518497703479,-2.0077216270409943,-2.696726289532602,-2.0077216270409943,3.4369781393029495,20,-0.0327502048543415
347,ARG,Argentina,1972,102289.15625,24.78295,8.73270034790039,2.117969036102295,117993.609375,1.0624415874481201,0.0520331934094429,11713.34778189125,1,0.01680623170365111,125268.15625,13414.13117268763,0.13113932761262395,-0.016571282771453633,11.53555894681013,0.7504576276683346,-2.031494951408367,-2.951368226555196,-2.031494951408367,3.7018258542235305,21,-0.3479969382005263
348,ARG,Argentina,1973,108064.6796875,25.213388,8.816359519958496,2.139695167541504,125268.15625,1.068501591682434,0.05108674615621567,12257.290488535877,1,0.017071803281653333,134567.625,15699.011249800911,0.14527421258452902,0.005671497620113082,11.590485212841077,0.7606633738134334,-1.9291322012075447,-2.6059894885283312,-1.9291322012075447,3.3666528623417644,22,0.1247729476424878
349,ARG,Argentina,1974,113038.7265625,25.644505,9.135210990905762,2.161644220352173,134567.625,1.0761831998825073,0.04948129504919052,12373.959033352567,1,0.0168112817931171,142748.53125,14839.486606693827,0.13127789968943926,0.0071378257911031175,11.63548575192429,0.7708691452463112,-2.0304388310376114,-2.611417224305941,-2.0304388310376114,3.382286369552252,23,0.1641699931953717
350,ARG,Argentina,1975,111643.65625,26.066975,9.189370155334473,2.1838183403015137,142748.53125,1.0398284196853638,0.04772432520985603,12149.217450468064,1,0.01620709729456527,149980.5625,14044.608578604297,0.12579853661505552,-0.034962287535999406,11.623067437472272,0.7810748769055951,-2.0730735674141756,-3.541524327210995,-2.0730735674141756,4.322599204116591,24,-0.8390949008639857
351,ARG,Argentina,1976,110320.2734375,26.477152999999998,9.182710647583008,2.196906328201294,149980.5625,1.0130938291549683,0.04694284871220589,12013.911542180362,1,0.01549177133961489,163067.046875,20126.99923020904,0.18244152777242376,-0.026389056730011965,11.611142991049137,0.7870501562628878,-1.7013255530648217,-3.322971492955059,-1.7013255530648217,4.110021649217947,25,-0.6597264182502991
352,ARG,Argentina,1977,114844.109375,26.878567,9.413909912109375,2.2100729942321777,163067.046875,1.0286216735839844,0.04773230105638504,12199.4060329038,1,0.01493435271307442,174031.421875,18747.94037381315,0.16324686112193684,0.01509577799864267,11.651330917076152,0.7930255440485477,-1.8124917384411545,-2.5540968465809963,-1.8124917384411545,3.347122390629544,26,0.3924902279647094
353,ARG,Argentina,1978,111297.921875,27.277742,9.480565071105957,2.223318338394165,174031.421875,0.9678769707679749,0.04612364247441292,11739.587360061916,1,0.014633725914703629,186264.84375,20260.384956876223,0.18203740569056537,-0.06276076882768564,11.619965865705677,0.7990008268862289,-1.7035430872505326,,-1.7035430872505326,,27,-1.6945407583475123
354,ARG,Argentina,1979,121546.7109375,27.68453,9.627711296081543,2.236643075942993,186264.84375,1.0013859272003174,0.0453551784157753,12624.673424406612,1,0.01469369355376446,198601.140625,20784.37209586776,0.170999049958293,0.033462579732897915,11.708053920040438,0.8049761149914495,-1.766097278294367,-2.3696713720863882,-1.766097278294367,3.174647487077838,28,0.9369522325211417
355,ARG,Argentina,1980,128656.6953125,28.105888999999998,9.641430854797363,2.2500476837158203,198601.140625,0.9889875054359436,0.04433879256248474,13344.14956141943,1,0.014991840322147397,218197.203125,28401.797276844736,0.2207564651638093,-0.01253647967868773,11.764902859204522,0.8109514087543521,-1.510695152661657,-3.0619970153600398,-1.510695152661657,3.8729484241143917,29,-0.3635579106819442
356,ARG,Argentina,1981,127595.09375,28.543366,9.65147590637207,2.2831640243530273,218197.203125,0.916280210018158,0.042805980890989304,13220.267551593795,1,0.015326748779383666,235138.421875,26281.36405743606,0.20597472273447867,-0.07935050285146375,11.756617198918487,0.825562210938401,-1.5800018228938852,,-1.5800018228938852,,30,-2.3805150855439123
